pack_id,tube_id,particle_id,id,ore_type,rm_number,density_bin,created_at,density_g_per_cm3,volume_cm3,weight_g,axis_length_mm,volume_normalised_magnetic_susceptibility,weight_normalised_magnetic_susceptibility,photo_url
56,TUBE-02,RT-XRM43971-0815,986,GOH,RM43971,1190575,2025-03-17T04:02:30.837233,3.6835,0.2788,1.0268,13.55,0.0013564323290291727,3.6830281781586815e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0815/20250324115923
56,TUBE-02,RT-XRM43971-0816,987,GOH,RM43971,1190575,2025-03-17T04:04:12.015277,4.0259,0.1659,0.6678,13.15,0.0013594735784609204,3.3773085754217836e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0816/20250324120450
56,TUBE-02,RT-XRM43971-0813,988,GOE,RM43971,1190575,2025-03-17T03:56:47.689571,3.9831,0.3159,1.2584,13.54,0.001428025746544265,3.5848166984530625e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0813/20250324115005
56,TUBE-02,RT-XRM43971-0819,989,GOH,RM43971,1190575,2025-03-17T04:06:39.283615,4.7191,0.1341,0.6327,15.3,0.0025406164553815557,5.384805858490068e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0819/20250324122127
56,TUBE-02,RT-XRM43971-0812,990,GOE,RM43971,1190575,2025-03-17T03:55:37.849147,3.9645,0.2503,0.9924,15.34,0.0013027566919696363,3.2857718661829906e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0812/20250324114322
56,TUBE-02,RT-XRM43971-0817,991,GOH,RM43971,1190575,2025-03-17T04:05:08.352999,4.1259,0.1654,0.6823,10.33,0.0014058041112454656,3.4078850945331966e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0817/20250324121211
56,TUBE-02,RT-XRM43971-0811,992,GOE,RM43971,1190575,2025-03-17T03:54:42.628699,4.0114,0.2067,0.8292,13.65,0.001385002418964683,3.452484322238302e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0811/20250324111118
56,TUBE-02,RT-XRM43971-0818,993,GOH,RM43971,1190575,2025-03-17T04:05:52.165907,3.8984,0.1509,0.5884,10.8,0.0014294897282968852,3.6660435078178104e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0818/20250324121713
56,TUBE-02,RT-XRM43971-0831,994,GOV,RM43971,1190575,2025-03-17T04:43:15.414975,3.8287,0.1908,0.7307,10.55,0.0013796995108315865,3.602664112038685e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0831/20250325093646
56,TUBE-02,RT-XRM43971-0841,995,GOV,RM43971,1190575,2025-03-18T02:56:04.206493,3.9205,0.3914,1.5346,16.82,0.001451769289729177,3.7027401277205787e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0841/20250328130626
56,TUBE-02,RT-XRM43971-0825,996,HGH,RM43971,1190575,2025-03-17T04:29:36.184713,4.0228,0.1822,0.7308,8.95,0.0022947859495060373,5.721264367816091e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0825/20250324140618
56,TUBE-02,RT-XRM43971-0850,997,HGF,RM43971,1190575,2025-03-18T03:21:20.155094,4.93766,0.199913,0.9871,12.35,0.010996616861668158,2.227096207746598e-06,http://130.56.245.232/photo360/v1/RT-XRM43971-0850/20250328134939
56,TUBE-02,RT-XRM43971-0849,998,HGF,RM43971,1190575,2025-03-18T03:17:56.279142,4.691574,0.145205,0.6812,11.59,0.003907234599359527,8.328684674104522e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0849/20250328134545
56,TUBE-02,RT-XRM43971-0845,999,HGF,RM43971,1190575,2025-03-18T02:57:13.434915,5.038317,0.182523,0.9196,13.67,0.004420009167794378,8.772872263302886e-07,http://130.56.245.232/photo360/v1/RT-XRM43971-0845/20250328133002
