created_at,particle_id,ore_type,rm_number,density_bin
2025-03-17T00:39:27.784246,RT-XRM43971-0748,HGM,RM43971,1190573
2025-03-17T00:39:53.161674,RT-XRM43971-0749,HGM,RM43971,1190573
2025-03-17T00:42:50.628138,RT-XRM43971-0750,HGM,RM43971,1190573
2025-03-17T00:43:07.726967,RT-XRM43971-0751,HGM,RM43971,1190573
2025-03-17T00:43:27.735598,RT-XRM43971-0752,HGM,RM43971,1190573
2025-03-17T00:43:47.357847,RT-XRM43971-0753,HGM,RM43971,1190573
2025-03-17T00:44:35.782721,RT-XRM43971-0754,HGM,RM43971,1190573
2025-03-17T00:44:47.037821,RT-XRM43971-0755,HGM,RM43971,1190573
2025-03-17T00:46:53.586034,RT-XRM43971-0760,HGM,RM43971,1190573
2025-03-17T00:47:13.786990,RT-XRM43971-0759,HGM,RM43971,1190573
2025-03-17T00:47:33.983281,RT-XRM43971-0758,HGM,RM43971,1190573
2025-03-17T00:47:51.426245,RT-XRM43971-0757,HGM,RM43971,1190573
2025-03-17T00:48:07.369847,RT-XRM43971-0756,HGM,RM43971,1190573
2025-03-17T00:50:25.518509,RT-XRM43971-0761,HGM,RM43971,1190573
2025-03-17T00:50:49.419815,RT-XRM43971-0762,HGM,RM43971,1190573
2025-03-17T00:51:09.766201,RT-XRM43971-0763,HGM,RM43971,1190573
2025-03-17T00:51:29.267718,RT-XRM43971-0764,HGM,RM43971,1190573
2025-03-17T00:51:49.295626,RT-XRM43971-0765,HGM,RM43971,1190573
2025-03-17T00:54:47.695188,RT-XRM43971-0766,HGM,RM43971,1190573
2025-03-17T00:54:59.877748,RT-XRM43971-0767,HGM,RM43971,1190573
2025-03-17T00:55:09.309347,RT-XRM43971-0768,HGM,RM43971,1190573
2025-03-17T00:55:17.156147,RT-XRM43971-0769,HGM,RM43971,1190573
2025-03-17T00:55:28.749010,RT-XRM43971-0770,HGM,RM43971,1190573
2025-03-17T00:58:11.159898,RT-XRM43971-0771,HGM,RM43971,1190573
2025-03-17T00:58:24.812412,RT-XRM43971-0772,HGM,RM43971,1190573
2025-03-17T00:58:33.219571,RT-XRM43971-0773,HGM,RM43971,1190573
2025-03-17T00:58:42.746642,RT-XRM43971-0774,HGM,RM43971,1190573
2025-03-17T00:58:51.863562,RT-XRM43971-0775,HGM,RM43971,1190573
2025-03-17T01:01:37.322044,RT-XRM43971-0776,HGM,RM43971,1190573
2025-03-17T01:01:47.756834,RT-XRM43971-0777,HGM,RM43971,1190573
2025-03-17T01:01:56.875119,RT-XRM43971-0778,HGM,RM43971,1190573
2025-03-17T01:02:06.391066,RT-XRM43971-0779,HGM,RM43971,1190573
2025-03-17T01:02:13.922263,RT-XRM43971-0780,HGM,RM43971,1190573
2025-03-17T01:05:47.341662,RT-XRM43971-0781,HGM,RM43971,1190573
2025-03-17T01:05:57.172031,RT-XRM43971-0782,HGM,RM43971,1190573
2025-03-17T01:06:06.380704,RT-XRM43971-0783,HGM,RM43971,1190573
2025-03-17T01:06:13.989461,RT-XRM43971-0784,HGM,RM43971,1190573
2025-03-17T01:06:21.695856,RT-XRM43971-0785,HGM,RM43971,1190573
2025-03-17T01:10:51.216686,RT-XRM43971-0786,HGM,RM43971,1190573
2025-03-17T01:11:00.034822,RT-XRM43971-0787,HGM,RM43971,1190573
2025-03-17T01:11:11.270408,RT-XRM43971-0788,HGM,RM43971,1190573
2025-03-17T01:11:21.299829,RT-XRM43971-0789,HGM,RM43971,1190573
2025-03-17T01:11:30.815086,RT-XRM43971-0790,HGM,RM43971,1190573
2025-03-17T01:11:41.058862,RT-XRM43971-0791,HGM,RM43971,1190573
2025-03-17T01:11:51.752355,RT-XRM43971-0792,HGM,RM43971,1190573
2025-03-17T01:15:34.667787,RT-XRM43971-0793,HGM,RM43971,1190573
2025-03-17T01:15:43.814806,RT-XRM43971-0794,HGM,RM43971,1190573
2025-03-17T01:15:56.132848,RT-XRM43971-0795,HGM,RM43971,1190573
2025-03-17T01:16:03.958404,RT-XRM43971-0796,HGM,RM43971,1190573
2025-03-17T01:16:12.140547,RT-XRM43971-0797,HGM,RM43971,1190573
2025-03-17T01:18:54.724404,RT-XRM43971-0798,HGM,RM43971,1190573
2025-03-17T01:19:04.280130,RT-XRM43971-0799,HGM,RM43971,1190573
