pack_id,acquisition_id,visualisation_url,gadi_location,particle_id
17,TUBE-01_2025-02-18_17__fixed/RT-XRM43971-0011,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/_obd4fs7S1X8yamkUg6sF4lIVRkMpIh_5bCRCduZhMc=/RT_WEX1/TUBE-01_2025-02-18_17__fixed/tomo_RT-XRM43971-0011.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_17__fixed/data/particle_tomos/tomo_RT-XRM43971-0011.ome.zarr,RT-XRM43971-0011
17,TUBE-01_2025-02-18_17__fixed/RT-XRM43971-0012,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/kbMrDcjpTQqQXvgTdtsCIdgmiCWQzWgRBR2AJbilSD4=/RT_WEX1/TUBE-01_2025-02-18_17__fixed/tomo_RT-XRM43971-0012.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_17__fixed/data/particle_tomos/tomo_RT-XRM43971-0012.ome.zarr,RT-XRM43971-0012
17,TUBE-01_2025-02-18_17__fixed/RT-XRM43971-0014,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/agYXy4S5cEgutoF-5cKqvfpSWBgF86JWHoZqXdnJn3A=/RT_WEX1/TUBE-01_2025-02-18_17__fixed/tomo_RT-XRM43971-0014.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_17__fixed/data/particle_tomos/tomo_RT-XRM43971-0014.ome.zarr,RT-XRM43971-0014
17,TUBE-01_2025-02-18_17__fixed/RT-XRM43971-0016,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/VZ2gw3IgudpbeHPayPLVMoT1v3hXUAijBG6SFnvKRCY=/RT_WEX1/TUBE-01_2025-02-18_17__fixed/tomo_RT-XRM43971-0016.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_17__fixed/data/particle_tomos/tomo_RT-XRM43971-0016.ome.zarr,RT-XRM43971-0016
17,TUBE-01_2025-02-18_17__fixed/RT-XRM43971-0017,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/DZ7--o_beBCP6qp0o7zNYK3Lk1pQ_TOnn-YblHbXGm8=/RT_WEX1/TUBE-01_2025-02-18_17__fixed/tomo_RT-XRM43971-0017.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_17__fixed/data/particle_tomos/tomo_RT-XRM43971-0017.ome.zarr,RT-XRM43971-0017
17,TUBE-01_2025-02-18_17__fixed/RT-XRM43971-0018,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/u83eb9-yWVYozTSp-0wt04Zk5XY8wHM7aZ_amgBD_FY=/RT_WEX1/TUBE-01_2025-02-18_17__fixed/tomo_RT-XRM43971-0018.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_17__fixed/data/particle_tomos/tomo_RT-XRM43971-0018.ome.zarr,RT-XRM43971-0018
17,TUBE-01_2025-02-18_17__fixed/RT-XRM43971-0019,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/qVrxk29wBw3vixiNYz8uuQ1focbK_BjK7RNuTt_jSWg=/RT_WEX1/TUBE-01_2025-02-18_17__fixed/tomo_RT-XRM43971-0019.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_17__fixed/data/particle_tomos/tomo_RT-XRM43971-0019.ome.zarr,RT-XRM43971-0019
17,TUBE-01_2025-02-18_17__fixed/RT-XRM43971-0020,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/tl5FN8NjiPimKtX-3IftyPvlu3ptC8KfNH9kxLmPOzM=/RT_WEX1/TUBE-01_2025-02-18_17__fixed/tomo_RT-XRM43971-0020.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_17__fixed/data/particle_tomos/tomo_RT-XRM43971-0020.ome.zarr,RT-XRM43971-0020
17,TUBE-01_2025-02-18_17__fixed/RT-XRM43971-0021,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/f2HtwZYtDLP2bom_Y_GhP2Qs5yYQL163etZx1fCBDOo=/RT_WEX1/TUBE-01_2025-02-18_17__fixed/tomo_RT-XRM43971-0021.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_17__fixed/data/particle_tomos/tomo_RT-XRM43971-0021.ome.zarr,RT-XRM43971-0021
17,TUBE-01_2025-02-18_17__fixed/RT-XRM43971-0022,https://neuroglancer.ctlab.anu.edu.au/#!https://data.ctlab.anu.edu.au/b4cqWOTDMu3-05d4DCVGob1-dcpbtKe5w1jHq-QrEys=/RT_WEX1/TUBE-01_2025-02-18_17__fixed/tomo_RT-XRM43971-0022.ome.zarr/neuroglancer.json,/g/data/ap38/OAI_WEX1/ct/tube/TUBE-01_2025-02-18_17__fixed/data/particle_tomos/tomo_RT-XRM43971-0022.ome.zarr,RT-XRM43971-0022
