measurement_id,particle_id,ore_type,rm_number,density_bin,density_bin_g_per_cm3,operator,density_g_per_cm3,density_g_per_cm3_std,machine,cup,created_at,valid,volume_measurement_id,volume_cm3,volume_valid
561,RT-XRM43971-0357,HGM,RM43971,1190579,3.75,Indiana Veal,4.6054,0.0019,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 10:50:02.707508+11:00,True,424,0.2943,True
562,RT-XRM43971-0358,HGM,RM43971,1190579,3.75,Indiana Veal,4.7209,0.0048,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 11:00:02.507219+11:00,True,425,0.2495,True
563,RT-XRM43971-0359,HGM,RM43971,1190579,3.75,Indiana Veal,4.7631,0.0068,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 11:00:02.577622+11:00,True,426,0.2417,True
564,RT-XRM43971-0360,HGM,RM43971,1190579,3.75,Indiana Veal,4.312,0.0029,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 11:10:03.005172+11:00,True,427,0.2635,True
565,RT-XRM43971-0361,HGM,RM43971,1190579,3.75,Indiana Veal,5.0055,0.0048,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 11:20:01.806563+11:00,True,428,0.1863,True
566,RT-XRM43971-0362,HGM,RM43971,1190579,3.75,Indiana Veal,4.7178,0.0061,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 11:30:02.604969+11:00,True,429,0.1449,True
567,RT-XRM43971-0363,HGM,RM43971,1190579,3.75,Indiana Veal,5.1954,0.0094,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 11:40:03.455073+11:00,True,430,0.1329,True
568,RT-XRM43971-0364,HGM,RM43971,1190572,3.05,Indiana Veal,4.2588,0.0037,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 11:50:02.310502+11:00,True,431,0.1425,True
569,RT-XRM43971-0365,HGM,RM43971,1190572,3.05,Indiana Veal,4.3244,0.006,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 11:50:02.380496+11:00,True,432,0.1343,True
570,RT-XRM43971-0366,HGM,RM43971,1190572,3.05,Indiana Veal,3.9788,0.008,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 12:00:02.206340+11:00,True,433,0.0831,True
571,RT-XRM43971-0367,HGM,RM43971,1190572,3.05,Indiana Veal,4.232,0.0064,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 12:10:02.190436+11:00,True,434,0.1852,True
572,RT-XRM43971-0368,HGM,RM43971,1190572,3.05,Indiana Veal,4.329,0.0036,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 12:20:02.219037+11:00,True,435,0.1139,True
573,RT-XRM43971-0369,HGM,RM43971,1190572,3.05,Indiana Veal,4.541,0.0098,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 12:20:02.285181+11:00,True,436,0.1082,True
574,RT-XRM43971-0370,SHL,RM43971,1190574,3.25,Indiana Veal,3.4154,0.0029,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 12:30:02.420147+11:00,True,437,0.1457,True
575,RT-XRM43971-0371,SHL,RM43971,1190574,3.25,Indiana Veal,3.7498,0.0055,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 12:40:03.083375+11:00,True,438,0.1096,True
576,RT-XRM43971-0372,HGM,RM43971,1190569,2.75,Indiana Veal,5.0308,0.0131,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 13:00:02.031508+11:00,True,439,0.0721,True
577,RT-XRM43971-0373,HGM,RM43971,1190569,2.75,Indiana Veal,4.3802,0.0086,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 13:10:01.843484+11:00,True,440,0.1102,True
578,RT-XRM43971-0374,HGH,RM43971,1190574,3.25,Indiana Veal,3.9419,0.0009,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 15:50:01.964271+11:00,True,441,0.5054,True
579,RT-XRM43971-0375,HGH,RM43971,1190574,3.25,Indiana Veal,4.1431,0.0015,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 16:00:01.995134+11:00,True,442,0.4966,True
580,RT-XRM43971-0383,HGH,RM43971,1190579,3.75,Indiana Veal,4.5184,0.0031,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 16:10:01.886428+11:00,True,443,0.2147,True
581,RT-XRM43971-0382,HGH,RM43971,1190579,3.75,Indiana Veal,4.3553,0.0023,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-11 16:20:02.685777+11:00,True,444,0.3499,True
582,RT-XRM43971-0376,HGH,RM43971,1190579,3.75,Indiana Veal,4.1809,0.0034,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 08:30:02.517904+11:00,True,445,0.6114,True
583,RT-XRM43971-0377,HGH,RM43971,1190579,3.75,Indiana Veal,4.8353,0.009,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 08:40:02.291876+11:00,True,446,0.3909,True
584,RT-XRM43971-0378,HGH,RM43971,1190579,3.75,Indiana Veal,4.003,0.0018,AccuPyc 1350 100 cm³ (TS) SN: 3233,3.5cc Cup new,2025-02-12 08:50:02.139761+11:00,True,447,0.4501,True
