measurement_id,particle_id,operator,magnetic_susceptibility,machine,created_at,valid,volume_normalised_magnetic_susceptibility,weight_normalised_magnetic_susceptibility
103,RT-XRM43971-0103,Pengxiang Hu,3.5052e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.633687,True,0.001778386605783866,3.9085637823371993e-07
104,RT-XRM43971-0104,Pengxiang Hu,4.7319666666666674e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.646458,True,0.003549862465616405,6.90596419536875e-07
105,RT-XRM43971-0105,Pengxiang Hu,0.00014214333333333333,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.658425,True,0.007716793340571842,1.4862330963334727e-06
106,RT-XRM43971-0106,Pengxiang Hu,5.429766666666667e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.670408,True,0.002233552721788016,4.888598781549174e-07
107,RT-XRM43971-0107,Pengxiang Hu,9.611433333333333e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.682165,True,0.010922083333333334,2.160843824940048e-06
108,RT-XRM43971-0108,Pengxiang Hu,3.229933333333333e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.694471,True,0.0013622662730212287,3.419004269432977e-07
109,RT-XRM43971-0109,Pengxiang Hu,8.2617e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.705830,True,0.005851062322946176,1.4625066383430699e-06
110,RT-XRM43971-0110,Pengxiang Hu,2.7837666666666666e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.717090,True,0.0014468641718641717,3.588715568733617e-07
111,RT-XRM43971-0111,Pengxiang Hu,0.0005172966666666666,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.728420,True,0.022919657362280313,4.791114815843906e-06
112,RT-XRM43971-0112,Pengxiang Hu,3.2015000000000004e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.740478,True,0.0014084909810822704,3.360802015536427e-07
113,RT-XRM43971-0113,Pengxiang Hu,3.6064000000000006e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.752950,True,0.0014672091131000817,3.665040650406505e-07
114,RT-XRM43971-0114,Pengxiang Hu,3.3018e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.764827,True,0.002209433823381803,5.26518896507734e-07
115,RT-XRM43971-0115,Pengxiang Hu,3.6209e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.775952,True,0.002718393393393393,6.121555367709213e-07
116,RT-XRM43971-0116,Pengxiang Hu,2.1128666666666663e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.787080,True,0.0015958207452165154,3.7119934410869047e-07
117,RT-XRM43971-0117,Pengxiang Hu,1.7173e-05,AGICO MFK2 Kappabridge,2025-02-26T06:06:28.798630,True,0.001387156704361874,3.4256931976860166e-07
